Time,nodes
2.1848926544189453,50
1.9027926921844482,50
1.9255321025848389,50
1.689873218536377,50
2.520634174346924,50
1.7636137008666992,50
1.4044711589813232,50
1.199465274810791,40
1.090846061706543,40
1.1299169063568115,40
1.282273530960083,40
1.0466673374176025,40
1.0561747550964355,40
0.7353665828704834,30
0.6123926639556885,30
0.5676016807556152,30
0.6015710830688477,30
0.5626993179321289,30
0.5627765655517578,30
0.37014269828796387,20
0.2819225788116455,20
0.4273567199707031,20
0.38333725929260254,20
0.3587789535522461,20
0.2863178253173828,20
0.1279747486114502,10
0.09682583808898926,10
0.09056544303894043,10
0.094818115234375,10
0.08860278129577637,10
0.09798455238342285,10
