nodes,mean,std
10,0.034114088330950025,0.0016807604624933475
20,0.09904114405314124,0.0016097107790849488
30,0.16727145512898758,0.01346006710864543
40,0.2605601549148559,0.002451115334205826
50,0.3548638820648193,0.01594650640992706
