nodes,rps,signal
1,627.8804209517822,put
1,611.67494035362,put
1,608.41330811275,put
1,615.711995678291,put
1,612.5503849703824,put
1,619.7697236210606,put
1,617.6668787257605,put
1,615.0718338341245,put
1,614.994274252317,put
1,610.6854935579826,put
1,611.3005153557353,put
1,609.1086658814953,get
1,634.5027063497106,get
1,616.5011611841138,get
1,613.6374476053927,get
1,614.9879621239447,get
1,614.8608454090346,get
1,623.5835465564894,get
1,630.0090273720133,get
1,610.7930997323423,get
1,623.6549418915864,get
2,39.92486977287689,put
2,40.013126865045145,put
2,39.943804644954454,put
2,39.79576404131704,put
2,39.86036767716241,put
2,39.81986472290696,put
2,39.81224486154098,put
2,39.93468476831659,put
2,39.66970788508346,put
2,39.75773992208654,put
2,39.954352079590464,get
2,39.940073282913204,get
2,39.75500785327238,get
2,39.818466017915114,get
2,39.83450031222324,get
2,39.90974239053258,get
2,39.92505979281976,get
2,39.942439060531264,get
2,40.07674225881718,get
2,40.14251954245821,get
4,39.80253150046186,put
4,39.96912480250356,put
4,39.982902208947664,put
4,39.911941264995036,put
4,39.79539778803342,put
4,39.83276768381646,put
4,39.79706297329122,put
4,39.68735369069422,put
4,39.864307702016795,put
4,39.86531935328578,put
4,39.97066743031728,get
4,40.071117735009054,get
4,40.10280259454167,get
4,40.05906612600079,get
4,39.69357343838781,get
4,39.62997320588159,get
4,39.623687277079775,get
4,39.464299206151395,get
4,39.14723089349458,get
4,39.80232753669729,get
8,40.1083286261579,put
8,40.22131049445036,put
8,39.92613153916742,put
8,39.5729376200594,put
8,39.6712912750388,put
8,39.58051470001909,put
8,39.53857658809078,put
8,39.602455665271144,put
8,39.69227374062818,put
8,39.97736876859566,put
8,39.98278786617013,get
8,40.054655266528464,get
8,40.37807077086971,get
8,40.252364223136254,get
8,40.007211077588714,get
8,39.98903193894802,get
8,40.017540036583725,get
8,40.03937588158521,get
8,40.22769874342151,get
8,40.091689950628854,get
16,39.94602629656127,put
16,40.179597639212595,put
16,40.294747104421255,put
16,40.31109374312219,put
16,40.03541264078553,put
16,39.885047338902574,put
16,39.931658407042235,put
16,39.94500293661157,put
16,39.93243776527464,put
16,39.794200904213554,put
16,39.865008653425484,get
16,39.927553022022536,get
16,39.80420106022962,get
16,39.84288942414194,get
16,39.87275865078235,get
16,39.87060957211214,get
16,39.89171240787718,get
16,39.83789791200528,get
16,39.79140342190754,get
16,39.886541759390134,get

